experiment,group,metric,n,k,rate,rate_pct,ci95_lo,ci95_hi,ci95_lo_pct,ci95_hi_pct
Exp06_Noise,S5_noise0.02,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S5_noise0.05,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S5_noise0.05,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S5_noise0.1,structure_ok,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,S5_noise0.1,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp06_Noise,ALL,structure_ok,250,250,1.0,100.0,0.9848667005045553,0.9999999999999998,98.48667005045553,99.99999999999997
Exp06_Noise,ALL,canonical,250,250,1.0,100.0,0.9848667005045553,0.9999999999999998,98.48667005045553,99.99999999999997
Exp07_OperatorAblation,A,canonical,15,0,0.0,0.0,0.0,0.20388330103584862,0.0,20.388330103584863
Exp07_OperatorAblation,A,explicit_r2,15,0,0.0,0.0,0.0,0.20388330103584862,0.0,20.388330103584863
Exp07_OperatorAblation,B,canonical,15,2,0.13333333333333333,13.333333333333334,0.03736125910306536,0.37881982832322364,3.7361259103065363,37.881982832322365
Exp07_OperatorAblation,B,explicit_r2,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp07_OperatorAblation,C,canonical,15,5,0.3333333333333333,33.333333333333336,0.1517632443971473,0.5828645226148023,15.176324439714731,58.28645226148023
Exp07_OperatorAblation,C,explicit_r2,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp07_OperatorAblation,D,canonical,15,0,0.0,0.0,0.0,0.20388330103584862,0.0,20.388330103584863
Exp07_OperatorAblation,D,explicit_r2,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp07_OperatorAblation,E,canonical,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp07_OperatorAblation,E,explicit_r2,15,15,1.0,100.0,0.7961166989641514,1.0000000000000002,79.61166989641514,100.00000000000003
Exp08_PruningAblation,none,canonical,12,0,0.0,0.0,2.1025014877572554e-17,0.24249400665524087,2.1025014877572553e-15,24.24940066552409
Exp08_PruningAblation,none,structural,12,12,1.0,100.0,0.7575059933447591,1.0,75.75059933447591,100.0
Exp08_PruningAblation,r0,canonical,12,0,0.0,0.0,2.1025014877572554e-17,0.24249400665524087,2.1025014877572553e-15,24.24940066552409
Exp08_PruningAblation,r0,structural,12,12,1.0,100.0,0.7575059933447591,1.0,75.75059933447591,100.0
Exp08_PruningAblation,r10k,canonical,12,8,0.6666666666666666,66.66666666666667,0.39062208887279953,0.8618799089087867,39.06220888727995,86.18799089087868
Exp08_PruningAblation,r10k,structural,12,12,1.0,100.0,0.7575059933447591,1.0,75.75059933447591,100.0
Exp08_PruningAblation,r1k,canonical,12,1,0.08333333333333333,8.333333333333334,0.014865094404917095,0.35387991114111694,1.4865094404917096,35.38799111411169
Exp08_PruningAblation,r1k,structural,12,12,1.0,100.0,0.7575059933447591,1.0,75.75059933447591,100.0
Exp08_PruningAblation,r50k,canonical,12,12,1.0,100.0,0.7575059933447591,1.0,75.75059933447591,100.0
Exp08_PruningAblation,r50k,structural,12,12,1.0,100.0,0.7575059933447591,1.0,75.75059933447591,100.0
Exp09_NetworkSize,area_H8,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp09_NetworkSize,area_H8,structural,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp09_NetworkSize,area_H12,canonical,10,9,0.9,90.0,0.5958499732047616,0.9821237869049271,59.58499732047616,98.21237869049271
Exp09_NetworkSize,area_H12,structural,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
Exp09_NetworkSize,area_H22,canonical,10,10,1.0,100.0,0.7224672001371106,0.9999999999999999,72.24672001371107,99.99999999999999
