experiment,group,metric,n,mean,sd,median,min,max,ci95_lo,ci95_hi
Exp05_SyntheticRecovery,S1_noise0,pruned_n,15,2.0,0.0,2.0,2.0,2.0,2.0,2.0
Exp05_SyntheticRecovery,S1_noise0.05,max_rel_err,15,0.007219224929908998,0.006396649398950992,0.00548056356851774,0.000871444781137498,0.0236653160708431,0.0036768785649093794,0.010761571294908616
Exp05_SyntheticRecovery,S1_noise0.05,test_rmse,15,0.049733068169230774,0.004774071549888946,0.0493327996226463,0.0415873126620936,0.0613484054802058,0.047089275466793375,0.05237686087166817
Exp05_SyntheticRecovery,S1_noise0.05,pruned_n,15,2.2,0.7745966692414836,2.0,2.0,5.0,1.7710426624166145,2.628957337583386
Exp05_SyntheticRecovery,S2_noise0,max_rel_err,15,5.334512787929305e-15,1.0686000788537632e-14,2.08166817117217e-15,1.30614473485313e-16,4.32986979603811e-14,-5.831972019080402e-16,1.125222277776665e-14
Exp05_SyntheticRecovery,S2_noise0,test_rmse,15,1.7343796785817179e-15,3.2342637292962185e-15,8.65139652333427e-16,1.92034818798021e-16,1.32864492574021e-14,-5.669587525454852e-17,3.5254552324179845e-15
Exp05_SyntheticRecovery,S2_noise0,pruned_n,15,3.0,0.0,3.0,3.0,3.0,3.0,3.0
Exp05_SyntheticRecovery,S2_noise0.05,max_rel_err,15,0.022415835026085528,0.013900769769508103,0.0209831415239681,0.00679838465868126,0.0521207254037886,0.014717845314192164,0.03011382473797889
Exp05_SyntheticRecovery,S2_noise0.05,test_rmse,15,0.0514884939254399,0.0029775157330856916,0.0515920924702144,0.0464037643379045,0.0571427927706128,0.04983960067273873,0.05313738717814107
Exp05_SyntheticRecovery,S2_noise0.05,pruned_n,15,3.066666666666667,0.2581988897471611,3.0,3.0,4.0,2.923680887472205,3.2096524458611286
Exp05_SyntheticRecovery,S3_noise0,max_rel_err,15,9.518017286622519e-14,9.17103159280268e-14,8.31927119785784e-14,5.9211894646675e-15,3.11750625314744e-13,4.4392692734222205e-14,1.4596765299822818e-13
Exp05_SyntheticRecovery,S3_noise0,test_rmse,15,1.1218716080112784e-14,9.575894559457694e-15,9.47329993859977e-15,1.79308789421405e-15,3.43081604149307e-14,5.9157624291158385e-15,1.652166973110973e-14
Exp05_SyntheticRecovery,S3_noise0,pruned_n,15,3.0,0.0,3.0,3.0,3.0,3.0,3.0
Exp05_SyntheticRecovery,S3_noise0.05,max_rel_err,15,0.08713530903874485,0.07394260812187346,0.0482154528875699,0.0143449010823197,0.232538982508295,0.04618725752570358,0.12808336055178612
Exp05_SyntheticRecovery,S3_noise0.05,test_rmse,15,0.05187562036961966,0.00447960431634968,0.0515140595128875,0.0442714102738662,0.0597608094580293,0.04939489818571191,0.054356342553527406
Exp05_SyntheticRecovery,S3_noise0.05,pruned_n,15,3.2,0.4140393356054125,3.0,3.0,4.0,2.9707126584600347,3.4292873415399656
Exp05_SyntheticRecovery,S4_noise0,max_rel_err,15,1.0806170773018193e-14,9.375597428778958e-15,7.7715611723761e-15,2.08166817117217e-15,3.03923552991137e-14,5.614137975819492e-15,1.5998203570216894e-14
Exp05_SyntheticRecovery,S4_noise0,test_rmse,15,1.396854633418363e-15,6.426030741971181e-16,1.34454270156073e-15,6.5508706265026e-16,2.39234252626008e-15,1.0409929123753052e-15,1.7527163544614209e-15
Exp05_SyntheticRecovery,S4_noise0,pruned_n,15,5.0,0.0,5.0,5.0,5.0,5.0,5.0
Exp05_SyntheticRecovery,S4_noise0.05,max_rel_err,15,0.013224574554753874,0.008845794619227835,0.0102993767129564,0.0035991602585092,0.0359619382960306,0.008325936774153673,0.018123212335354077
Exp05_SyntheticRecovery,S4_noise0.05,test_rmse,15,0.050127133013205635,0.0036718807886154826,0.0494872976824393,0.0438974302000349,0.0573169136211848,0.04809371320964456,0.05216055281676671
Exp05_SyntheticRecovery,S4_noise0.05,pruned_n,15,5.0,0.0,5.0,5.0,5.0,5.0,5.0
Exp05_SyntheticRecovery,S5_noise0,max_rel_err,15,0.24897198484291347,0.24504789997979393,0.156521424787752,0.0156588959793226,1.0,0.11326898103492508,0.3846749886509019
Exp05_SyntheticRecovery,S5_noise0,test_rmse,15,0.289165454706188,0.0563770659694159,0.298622769866476,0.0893715183935494,0.326654805586843,0.25794487620475337,0.3203860332076226
Exp05_SyntheticRecovery,S5_noise0,pruned_n,15,5.066666666666666,4.1311822359545785,4.0,4.0,20.0,2.7788941995552774,7.3544391337780555
Exp05_SyntheticRecovery,S5_noise0.05,max_rel_err,15,0.2468830126749648,0.16344192600952606,0.225066466045792,0.0357682787462182,0.578508755223993,0.15637189093311538,0.3373941344168142
Exp05_SyntheticRecovery,S5_noise0.05,test_rmse,15,0.34637464172639965,0.015918069471193765,0.348423613647446,0.310913527149471,0.374176524024436,0.3375595086759089,0.3551897747768904
Exp05_SyntheticRecovery,S5_noise0.05,pruned_n,15,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Exp06_Noise,S1_noise0,max_rel_err,10,4.9560630353608896e-05,0.00015672447417410345,5.8212693924512395e-15,9.25185853854297e-16,0.000495606303487772,-6.255330458422725e-05,0.00016167456529144503
Exp06_Noise,S1_noise0,test_rmse,10,3.1799536185760544e-05,0.00010055896287247542,3.892582925948171e-15,5.96267748098558e-16,0.000317995361824958,-4.0136012364089824e-05,0.00010373508473561091
Exp06_Noise,S1_noise0,pruned_n,10,2.0,0.0,2.0,2.0,2.0,2.0,2.0
Exp06_Noise,S1_noise0.01,max_rel_err,10,0.0006941643041171191,0.0004992141772452131,0.0005377033975589605,0.000174288956226754,0.00154926360170134,0.00033704799485746874,0.0010512806133767694
