factor_id,factor,seed,canonical,structural,k,pi_error,dense_val,final_val,test_loss,test_rmse,dense_n,final_n,dense_e,final_e,compression,terms,runtime_s,reason
f150,1.5,6,1,1,3.14170981633105,3.72940588345863E-05,5.71030619423263E-05,4.82232953111332E-09,6.91162158421522E-09,29.3930722794842,24,3,276,2,0.992753623188406,4,0.3099495,canonical A = b + k r^2
f150,1.5,7,1,1,3.14164677159538,1.72262961979271E-05,4.30351762505642E-05,4.23147527564213E-09,3.22185130230196E-09,20.0681691438923,24,3,276,2,0.992753623188406,4,0.3134789,canonical A = b + k r^2
f150,1.5,8,0,1,null,null,4.73319756171598E-05,5.65200044219934E-05,5.19811846836393E-05,2549.04846667436,24,8,276,14,0.949275362318841,21,0.3293847,non-canonical: square of degree>1 polynomial
f150,1.5,9,1,1,3.14164381008977,1.62836196860884E-05,9.74179209880019E-06,4.65974528041914E-09,5.07566223740839E-09,25.1884453604398,24,3,276,2,0.992753623188406,4,0.9398493,canonical A = b + k r^2
f150,1.5,10,1,1,3.14161287438867,6.43648018882939E-06,0.00010281821082121,2.89993760203192E-09,4.73991088484225E-09,24.3410940716564,24,3,276,2,0.992753623188406,4,0.2860082,canonical A = b + k r^2
f200,2,1,1,1,3.14162095052894,9.00719547978571E-06,4.7524029413909E-05,3.88599608868444E-09,3.27131935627375E-09,20.2216448276259,24,3,276,2,0.992753623188406,4,0.3910314,canonical A = b + k r^2
f200,2,2,1,1,3.14168915835002,3.07184192450543E-05,5.84591778960041E-05,3.98713154146284E-09,4.01423255470943E-09,22.4004256508295,24,3,276,2,0.992753623188406,4,0.3472014,canonical A = b + k r^2
f200,2,3,0,1,null,null,2.66696968712143E-06,2.04843930722115E-07,1.20405739699572E-07,122.681365587635,24,9,276,15,0.945652173913043,23,0.7031088,non-canonical: square of degree>1 polynomial
f200,2,4,0,1,null,null,1.0006623572342E-06,6.44046442039238E-07,6.40320179371181E-07,282.913453942011,24,13,276,29,0.894927536231884,41,0.5849587,non-canonical: square of degree>1 polynomial
f200,2,5,1,1,3.141630842786,1.21559986991308E-05,7.43855885665292E-06,3.18175103051575E-09,2.67071174746976E-09,18.2712607237036,24,3,276,2,0.992753623188406,4,0.3086554,canonical A = b + k r^2
f200,2,6,1,1,3.14170981633105,3.72940588345863E-05,5.71030619423263E-05,4.82232953111332E-09,6.91162158421522E-09,29.3930722794842,24,3,276,2,0.992753623188406,4,0.3126413,canonical A = b + k r^2
f200,2,7,1,1,3.14164677159538,1.72262961979271E-05,4.30351762505642E-05,4.23147527564213E-09,3.22185130230196E-09,20.0681691438923,24,3,276,2,0.992753623188406,4,0.3067116,canonical A = b + k r^2
