problem,noise,seed,structure_ok,canonical,max_rel_err,test_rmse,test_acc,dense_n,pruned_n,dense_e,pruned_e,fidelity_max,reason
S4,0,1,1,1,2.08166817117217E-15,1.45575627147407E-15,null,25,5,299,4,4.66293670342566E-15,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=1.16332E-30
S4,0,2,1,1,2.22044604925031E-15,6.5508706265026E-16,null,25,5,299,4,4.44089209850063E-16,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=2.16262E-31
S4,0,3,1,1,8.32667268468867E-15,6.59494955781934E-16,null,25,5,299,4,8.88178419700125E-16,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=2.55049E-31
S4,0,4,1,1,3.03923552991137E-14,2.26341760374803E-15,null,25,5,299,4,4.44089209850063E-16,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=1.76275E-30
S4,0,5,1,1,1.80411241501588E-14,2.05676852106359E-15,null,25,5,299,4,8.88178419700125E-16,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=2.02131E-30
S4,0,6,1,1,6.10622663543836E-15,7.21958192569914E-16,null,25,5,299,4,1.99840144432528E-15,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=2.20058E-31
S4,0,7,1,1,4.85722573273506E-15,2.0918284652623E-15,null,25,5,299,4,3.5527136788005E-15,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=1.56227E-30
S4,0,8,1,1,8.74300631892311E-15,1.34454270156073E-15,null,25,5,299,4,3.10862446895044E-15,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=8.36312E-31
S4,0,9,1,1,5.55111512312578E-15,1.73773294883174E-15,null,25,5,299,4,4.88498130835069E-15,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=1.68368E-30
S4,0,10,1,1,2.72004641033163E-14,1.98112948412979E-15,null,25,5,299,4,2.88657986402541E-15,installed diag OLS c0=0.2 a=1.3 b=0.8 Lval=1.85895E-30
S4,0.01,1,1,1,0.00974162841770404,0.0105587859948101,null,25,5,299,4,4.66293670342566E-15,installed diag OLS c0=0.198052 a=1.30229 b=0.803175 Lval=6.49562E-05
S4,0.01,2,1,1,0.00113229044761324,0.00881279763932772,null,25,5,299,4,2.22044604925031E-15,installed diag OLS c0=0.199781 a=1.29853 b=0.800326 Lval=4.91298E-05
S4,0.01,3,1,1,0.00196837090137111,0.00964223468756426,null,25,5,299,4,1.77635683940025E-15,installed diag OLS c0=0.199606 a=1.3005 b=0.801017 Lval=3.76824E-05
S4,0.01,4,1,1,0.00321809335436268,0.0100248233491823,null,25,5,299,4,5.10702591327572E-15,installed diag OLS c0=0.200103 a=1.3007 b=0.797426 Lval=5.12026E-05
S4,0.01,5,1,1,0.000984769239159492,0.0101662169826338,null,25,5,299,4,8.88178419700125E-16,installed diag OLS c0=0.200136 a=1.30128 b=0.799804 Lval=6.09447E-05
S4,0.01,6,1,1,0.00145471326934543,0.00946508136189977,null,25,5,299,4,4.88498130835069E-15,installed diag OLS c0=0.200291 a=1.29857 b=0.800865 Lval=5.14471E-05
S4,0.01,7,1,1,0.00365181100404122,0.00972903534041077,null,25,5,299,4,3.33066907387547E-15,installed diag OLS c0=0.20073 a=1.29874 b=0.798882 Lval=4.04608E-05
S4,0.01,8,1,1,0.00152262358994654,0.00888996097025957,null,25,5,299,4,1.99840144432528E-15,installed diag OLS c0=0.199695 a=1.29925 b=0.79974 Lval=5.85319E-05
S4,0.01,9,1,1,0.0127549814637261,0.00932946252108061,null,25,5,299,4,6.66133814775094E-16,installed diag OLS c0=0.202551 a=1.29827 b=0.79687 Lval=4.67785E-05
S4,0.01,10,1,1,0.00149714397749648,0.00978648915745256,null,25,5,299,4,3.5527136788005E-15,installed diag OLS c0=0.199836 a=1.29889 b=0.801198 Lval=5.48212E-05
S4,0.02,1,1,1,0.0191464307351058,0.0217276088216924,null,25,5,299,4,2.22044604925031E-15,installed diag OLS c0=0.196171 a=1.30448 b=0.807231 Lval=0.000196889
S4,0.02,2,1,1,0.00688131590961205,0.0189825647492671,null,25,5,299,4,4.44089209850063E-16,installed diag OLS c0=0.201376 a=1.29677 b=0.798702 Lval=0.00019244
S4,0.02,3,1,1,0.00209762203349256,0.0195888410197692,null,25,5,299,4,2.88657986402541E-15,installed diag OLS c0=0.19958 a=1.30136 b=0.801667 Lval=0.000158551
S4,0.02,4,1,1,0.00922540332699007,0.0204047182452359,null,25,5,299,4,4.44089209850063E-16,installed diag OLS c0=0.201845 a=1.29837 b=0.796828 Lval=0.000233675
S4,0.02,5,1,1,0.00552747139778334,0.0211749980843306,null,25,5,299,4,3.5527136788005E-15,installed diag OLS c0=0.201105 a=1.30124 b=0.799324 Lval=0.000173295
S4,0.02,6,1,1,0.00154742177086323,0.0188787466322833,null,25,5,299,4,3.10862446895044E-15,installed diag OLS c0=0.200021 a=1.29799 b=0.800895 Lval=0.000196011
S4,0.02,7,1,1,0.00433663424684982,0.0212241185578085,null,25,5,299,4,3.77475828372553E-15,installed diag OLS c0=0.200867 a=1.2967 b=0.800959 Lval=0.000188062
S4,0.02,8,1,1,0.0019928881398909,0.0210210194427686,null,25,5,299,4,6.66133814775094E-16,installed diag OLS c0=0.199601 a=1.29984 b=0.798863 Lval=0.000228314
S4,0.02,9,1,1,0.0264325295247497,0.0186781408940684,null,25,5,299,4,6.66133814775094E-16,installed diag OLS c0=0.205287 a=1.29651 b=0.793318 Lval=0.000190684
S4,0.02,10,1,1,0.0100290654824278,0.0207416210196371,null,25,5,299,4,4.66293670342566E-15,installed diag OLS c0=0.202006 a=1.29611 b=0.8001 Lval=0.00017478
S4,0.05,1,1,1,0.0179924797713588,0.0573169136211848,null,25,5,299,4,1.33226762955019E-15,installed diag OLS c0=0.199546 a=1.30086 b=0.814394 Lval=0.0013438
S4,0.05,2,1,1,0.0258020894285324,0.0544752821852367,null,25,5,299,4,3.77475828372553E-15,installed diag OLS c0=0.20516 a=1.28755 b=0.797248 Lval=0.00108459
S4,0.05,3,1,1,0.0125739112719248,0.0514395607628729,null,25,5,299,4,4.88498130835069E-15,installed diag OLS c0=0.197485 a=1.30837 b=0.800201 Lval=0.00111421
S4,0.05,4,1,1,0.0041317791424475,0.0468983349012009,null,25,5,299,4,4.21884749357559E-15,installed diag OLS c0=0.199174 a=1.30369 b=0.798708 Lval=0.00145466
S4,0.05,5,1,1,0.00583373627301132,0.0546106330705221,null,25,5,299,4,3.33066907387547E-15,installed diag OLS c0=0.200255 a=1.30758 b=0.804421 Lval=0.00143869
S4,0.05,6,1,1,0.0035991602585092,0.0438974302000349,null,25,5,299,4,4.88498130835069E-15,installed diag OLS c0=0.2004 a=1.29661 b=0.802879 Lval=0.00100343
S4,0.05,7,1,1,0.00879542545491496,0.0541272458743409,null,25,5,299,4,1.55431223447522E-15,installed diag OLS c0=0.201759 a=1.29646 b=0.797901 Lval=0.00101224
S4,0.05,8,1,1,0.0160440307382642,0.0500730005548529,null,25,5,299,4,3.33066907387547E-15,installed diag OLS c0=0.196791 a=1.3003 b=0.806024 Lval=0.00143897
S4,0.05,9,1,1,0.0359619382960306,0.0486423878365945,null,25,5,299,4,2.22044604925031E-15,installed diag OLS c0=0.207192 a=1.30329 b=0.78759 Lval=0.00111571
